Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-11-26,18:30 ,Regular season,Sun,Home,W,2,1,RWD Molenbeek,2,24,6,25.0,0.04,0.17,16.4,0,1,1,3.5,2.7,0.12,-1.5,-1.7,Match Report
2023-12-01,20:45 ,Regular season,Fri,Away,W,3,1,Westerlo,3,26,10,38.5,0.12,0.30,19.5,0,0,0,3.2,3.2,0.13,-0.2,-0.2,Match Report
2023-12-10,18:30 ,Regular season,Sun,Home,D,2,2,Standard Liège,2,12,3,25.0,0.08,0.33,17.3,1,1,1,2.0,1.5,0.13,0.0,-0.5,Match Report
2023-12-17,18:30 ,Regular season,Sun,Away,D,1,1,Antwerp,1,10,3,30.0,0.10,0.33,15.4,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
2023-12-23,20:45 ,Regular season,Sat,Home,W,2,1,Genk,2,9,3,33.3,0.22,0.67,16.7,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Match Report
2023-12-27,20:45 ,Regular season,Wed,Home,W,2,0,Cercle Brugge,2,7,4,57.1,0.29,0.50,15.7,0,0,0,1.4,1.4,0.20,+0.6,+0.6,Match Report
2024-01-21,18:30 ,Regular season,Sun,Away,D,1,1,OH Leuven,1,12,3,25.0,0.08,0.33,21.0,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report
2024-01-28,18:30 ,Regular season,Sun,Home,D,2,2,Union SG,2,11,2,18.2,0.18,1.00,14.8,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Match Report
2024-02-01,20:30 ,Regular season,Thu,Away,D,2,2,Mechelen,2,17,4,23.5,0.12,0.50,17.0,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Match Report
2024-02-04,18:30 ,Regular season,Sun,Home,W,1,0,Gent,1,10,2,20.0,0.00,0.00,21.9,0,1,1,1.6,0.9,0.09,-0.6,-0.9,Match Report
2024-02-11,18:30 ,Regular season,Sun,Away,W,3,1,Charleroi,2,8,3,37.5,0.25,0.67,13.9,0,0,0,1.3,1.3,0.17,+0.7,+0.7,Match Report
2024-02-18,18:30 ,Regular season,Sun,Home,W,4,1,Sint-Truiden,4,16,7,43.8,0.19,0.43,17.5,1,1,1,3.0,2.3,0.15,+1.0,+0.7,Match Report
2024-02-25,13:30 ,Regular season,Sun,Away,W,2,1,Club Brugge,2,9,5,55.6,0.22,0.40,15.4,1,0,0,1.4,1.4,0.16,+0.6,+0.6,Match Report
2024-03-03,18:30 ,Regular season,Sun,Home,W,1,0,Eupen,1,16,5,31.3,0.06,0.20,15.6,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2024-03-09,20:45 ,Regular season,Sat,Away,W,3,0,RWD Molenbeek,3,10,4,40.0,0.20,0.50,12.8,0,1,1,2.5,1.7,0.17,+0.5,+0.3,Match Report
2024-03-16,20:45 ,Regular season,Sat,Home,L,0,1,Kortrijk,0,17,5,29.4,0.00,0.00,18.8,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
2024-03-30,20:45 ,Champions play-offs,Sat,Home,W,1,0,Antwerp,1,19,6,31.6,0.05,0.17,18.9,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report
2024-04-07,18:30 ,Champions play-offs,Sun,Away,L,1,3,Club Brugge,1,13,7,53.8,0.08,0.14,15.0,0,0,0,2.0,2.0,0.15,-1.0,-1.0,Match Report
2024-04-14,18:30 ,Champions play-offs,Sun,Home,W,2,1,Union SG,2,7,4,57.1,0.29,0.50,15.9,0,0,0,0.9,0.9,0.12,+1.1,+1.1,Match Report
2024-04-20,20:45 ,Champions play-offs,Sat,Away,L,1,2,Genk,1,9,2,22.2,0.11,0.50,19.3,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
2024-04-24,20:30 ,Champions play-offs,Wed,Home,W,3,0,Cercle Brugge,3,12,5,41.7,0.25,0.60,15.5,1,0,0,2.0,2.0,0.17,+1.0,+1.0,Match Report
2024-04-28,16:00 ,Champions play-offs,Sun,Away,D,1,1,Cercle Brugge,1,10,5,50.0,0.10,0.20,12.8,0,0,0,2.3,2.3,0.30,-1.3,-1.3,Match Report
2024-05-05,18:30 ,Champions play-offs,Sun,Away,D,0,0,Union SG,0,12,9,75.0,0.00,0.00,17.8,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2024-05-11,20:45 ,Champions play-offs,Sat,Home,W,2,1,Genk,2,16,4,25.0,0.13,0.50,18.9,0,0,0,1.1,1.1,0.07,+0.9,+0.9,Match Report
2024-05-19,18:30 ,Champions play-offs,Sun,Home,L,0,1,Club Brugge,0,13,4,30.8,0.00,0.00,14.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2024-05-26,18:30 ,Champions play-offs,Sun,Away,L,1,3,Antwerp,1,15,5,33.3,0.07,0.20,16.8,1,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
